"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"1","STM",103,1,"103_1","AP",26,38,13,3,22,19,107.0494683,4.90705542,8.083441749,66.34,3.86,0.19,5,31.93333333,15,0.506666667,2.853333333,NA
"2","STM",103,2,"103_2","SFyoung",23,17,21,12,60,22,38.47250797,6.322680011,1.428901631,59.38,4.526666667,0.18,3.2,42.8,18,2.746666667,0.966666667,NA
"3","STM",103,3,"103_3","SFold",35,45,23,7,44,38,78.75858696,4.408595554,9.899871276,63.49,3.846666667,0.19,4.733333333,31.26666667,16.66666667,0.893333333,2.606666667,NA
"4","STM",103,4,"103_4","PA",32,30,11,0,0,0,0,0.66265069,1.027490757,54.09,4.58,0.17,3.466666667,33.26666667,16.53333333,1.806666667,1.246666667,NA
"5","STM",103,5,"103_5","SFyoung",26,37,12,8,31,23,36.78408026,5.444015022,1.531471307,58.66,4.16,0.15,4.266666667,30.33333333,22.13333333,1.593333333,1.353333333,NA
"6","STM",103,7,"103_7","AP",NA,45,16,5,24,31,154.250465,6.354724737,2.527440974,158.43,4.126666667,0.42,3.133333333,18.06666667,7.733333333,0.426666667,3.106666667,NA
"7","STM",103,8,"103_8","SFold",37,50,21,5,59,43,106.4306665,5.274916237,4.577075494,63.29,4.033333333,0.2,2.933333333,40.8,20.2,1.506666667,2.193333333,NA
"8","STM",103,9,"103_9","SFyoung",41,31,11,1,8,0,0.70573043,2.15768,0,59.2,4.86,0.16,4.666666667,64.8,23.8,3.42,0.853333333,NA
"9","STM",112,1,"112_1","MA",10,9,7,0,0,0,0,0,0,45.5,4.886666667,0.15,6.933333333,45.8,14.46666667,2.54,0.646666667,NA
"10","STM",112,11,"112_11","MA",0,8,7,0,0,0,0,0,0,46.42,4.886666667,0.16,6.733333333,72.53333333,22.86666667,2.74,0.6,NA
"11","STM",112,12,"112_12","LF",23,62,20,8,43,60,122.0910718,4.425263227,13.69880118,56.02,3.933333333,0.18,3.866666667,24.13333333,14.4,1.2,1.646666667,NA
"12","STM",112,2,"112_2","FRU",31,44,11,0,6,2,5.410861669,3.53208,0,61.53,4.48,0.16,2.533333333,24.2,12.73333333,2.313333333,1.08,NA
"13","STM",112,3,"112_3","SFold",22,50,18,16,56,37,64.90449501,5.233171076,11.14414826,59.15,4.326666667,0.19,2.333333333,19.93333333,9.466666667,2.246666667,0.926666667,NA
"14","STM",112,4,"112_4","SFyoung",30,36,10,1,16,1,5.884654663,1.58056,13.10279236,63.8,4.806666667,0.2,2.533333333,35.73333333,11.8,3.293333333,0.673333333,NA
"15","STM",112,5,"112_5","PA",14,10,5,0,0,0,0,0,4.28319844,52.51,4.646666667,0.15,2.2,25.8,13.66666667,1.746666667,0.98,NA
"16","STM",112,7,"112_7","PA",16,31,8,0,0,0,0,0,0,58.5,6.4,0.17,14.73333333,103.2666667,47.2,6.626666667,0.093333333,NA
"17","STM",112,8,"112_8","LF",23,44,21,15,70,83,122.3756224,5.581802964,29.73722218,66.85,3.813333333,0.18,5.666666667,27.06666667,17.6,1.026666667,2.26,NA
"18","STM",112,9,"112_9","FRU",32,32,12,0,3,1,5.385899437,1.48572,0,47.74,4.953333333,0.15,2.4,28,12.2,2.506666667,0.793333333,NA
"19","STM",125,10,"125_10","BF",19,46,24,6,50,66,188.5738549,7.09566133,18.99541655,59.59,3.726666667,0.18,4.866666667,32.13333333,23.6,0.726666667,2.246666667,NA
"20","STM",125,12,"125_12","MA",8,6,4,0,0,0,0,2.06332,0,46.85,5.166666667,0.14,8.2,58.33333333,24.4,4.046666667,0.326666667,NA
"21","STM",125,2,"125_2","MA",16,12,8,0,0,0,0,0,0,49.37,4.933333333,0.17,6.266666667,28,13.26666667,3.493333333,0.413333333,NA
"22","STM",125,3,"125_3","PA",30,34,9,0,0,0,0,2.18804,0,58.4,4.36,0.17,3.866666667,32.26666667,23.06666667,1.593333333,1.093333333,NA
"23","STM",125,5,"125_5","SFyoung",22,43,23,10,40,23,39.33808535,6.220889148,2.767789397,52.49,4.433333333,0.18,2.133333333,21.2,10.4,2.14,1.28,NA
"24","STM",125,6,"125_6","SFold",14,25,26,9,62,28,41.49817367,4.986875554,3.240421725,47.65,4.546666667,0.16,2.4,17.73333333,9.866666667,2.506666667,0.92,NA
"25","STM",125,8,"125_8","MA",10,7,7,0,0,0,0,0,0,42.19,4.646666667,0.14,5.066666667,47.73333333,25.93333333,2.926666667,0.593333333,NA
"26","STM",125,9,"125_9","LF",16,39,19,16,77,71,93.68575089,6.991841923,35.71634877,50.13,4.04,0.17,4.4,30.06666667,15.6,1.613333333,1.786666667,NA
"27","STM",129,10,"129_10","LBF",26,32,21,7,46,31,54.76632258,4.403568018,6.529671067,58.35,4.34,0.19,2.933333333,24.93333333,16.33333333,1.966666667,1.226666667,NA
"28","STM",129,11,"129_11","SFold",30,32,23,4,47,27,57.8686274,5.398307611,5.403745137,60.59,4.6,0.16,2.733333333,24.8,20.26666667,2.426666667,1.333333333,NA
"29","STM",129,12,"129_12","MA",6,6,9,0,0,0,0,0,0,53.35,5.08,0.15,5.133333333,51.93333333,20.86666667,3.9,0.4,NA
"30","STM",129,5,"129_5","LBF",22,48,30,17,47,50,71.05444372,5.48533069,11.03133747,41.32,4.073333333,0.14,4,16.26666667,6.933333333,1.14,1.526666667,NA
"31","STM",129,7,"129_7","PA",22,11,14,0,0,0,0,0,0,53.04,5.88,0.12,12.06666667,41.53333333,18.2,5.94,0.113333333,NA
"32","STM",129,8,"129_8","PA",16,21,16,0,0,0,0,0,0,39.82,4.513333333,0.13,3.333333333,24.93333333,13.8,1.413333333,1.006666667,NA
"33","STM",129,9,"129_9","MA",12,10,12,0,0,0,0,2.11668,0,54.66,5.22,0.18,7.6,27.13333333,9.8,3.26,0.64,NA
"34","STM",157,1,"157_1","SFold",32,52,16,14,61,70,155.7970171,6.425861296,81.82427616,51.83,4.086666667,0.17,2.866666667,34.8,15.4,1.26,1.633333333,NA
"35","STM",157,11,"157_11","SHA",19,43,16,0,2,0,0.134089785,5.030815681,6.748740126,53.76,4.866666667,0.16,5.8,58.53333333,26.13333333,3.193333333,0.553333333,NA
"36","STM",157,2,"157_2","LBF",28,41,19,13,88,68,70.31530112,4.577891682,22.3855186,45.84,4.086666667,0.14,2.333333333,30.46666667,14.4,1.893333333,1.393333333,NA
"37","STM",157,3,"157_3","LBF",19,47,20,19,70,79,134.997054,5.076615067,23.52387287,56.12,4.12,0.23,2.2,23.2,11.4,1.566666667,1.633333333,NA
"38","STM",157,4,"157_4","LF",31,53,23,10,52,58,227.3680304,5.844778797,10.48913978,49.7,3.92,0.16,5.2,33.4,29,0.66,1.64,NA
"39","STM",157,5,"157_5","LF",28,47,26,13,94,72,137.8188378,6.191115255,30.49652244,55.57,3.92,0.17,3.466666667,29.93333333,18.4,0.8,2.193333333,NA
"40","STM",157,6,"157_6","LF",26,20,19,18,62,62,188.7960043,8.073065469,5.013260628,59.49,3.72,0.19,2.666666667,23.46666667,15.73333333,0.686666667,2.326666667,NA
"41","STM",157,7,"157_7","PA",33,30,4,0,0,1,0.074292288,0,0,54.58,4.826666667,0.16,3.866666667,43.8,30.4,2.646666667,0.4,NA
"42","STM",157,8,"157_8","SFold",21,55,19,5,50,54,92.03300593,5.645136196,4.361423051,45.68,3.92,0.15,2.8,34.86666667,13.33333333,0.833333333,1.94,NA
"43","STM",160,10,"160_10","LF",17,38,35,8,31,63,164.0334409,4.171221118,4.173844907,52.19,3.835714286,0.18,4.933333333,25.73333333,30.86666667,0.753333333,1.613333333,NA
"44","STM",160,11,"160_11","SFold",14,26,22,9,54,31,48.21105548,5.352747435,8.248131362,67.97,4.82,0.22,4.266666667,40.73333333,16.93333333,3.473333333,0.626666667,NA
"45","STM",160,12,"160_12","MA",4,8,6,0,0,0,0,1.30008,0,55.63,4.98,0.15,9.466666667,58,31.06666667,3.233333333,0.766666667,NA
"46","STM",160,5,"160_5","SFold",19,44,26,4,50,28,63.6202492,4.198552182,8.451487992,54.06,4.353333333,0.16,2.4,26.8,15.33333333,2.013333333,1.286666667,NA
"47","STM",160,8,"160_8","SFold",20,48,24,5,33,41,91.59730369,4.395294264,7.391004868,54.31,4.066666667,0.15,3.133333333,32.13333333,22.86666667,1.1,1.466666667,NA
"48","STM",165,1,"165_1","LBF",20,36,10,10,47,31,66.05097633,3.905290411,11.25264309,34.66,4.14,0.07,5.2,19.06666667,12.8,0.493333333,1.446666667,NA
"49","STM",165,2,"165_2","BF",29,68,26,6,44,59,126.6218981,6.54314586,11.06423997,38.8,3.766666667,0.13,4.266666667,24.26666667,14.2,0.52,2.126666667,NA
"50","STM",165,3,"165_3","BF",22,66,31,13,65,56,102.9093477,5.212713113,19.66921454,29.93,3.986666667,0.08,4.666666667,17.13333333,12.66666667,0.486666667,1.68,NA
"51","STM",165,4,"165_4","LBF",26,48,20,14,48,52,212.6774805,6.068536666,9.792321457,50.3,3.88,0.07,5.4,30.33333333,16.73333333,0.513333333,2.386666667,NA
"52","STM",165,5,"165_5","LBF",25,45,15,9,52,55,272.3430088,4.08921076,11.67582491,104.9,4.02,0.26,4.466666667,28.53333333,15.66666667,0.473333333,3.326666667,NA
"53","STM",165,6,"165_6","BF",19,53,26,8,40,52,123.7958951,4.997103737,11.93808732,31.52,4.04,0.09,4.333333333,17.26666667,14.6,0.5,1.24,NA
"54","STM",165,7,"165_7","LBF",24,49,25,16,63,48,92.23580534,4.562982538,10.97900385,24.16,4.2,0.1,3.8,19.2,12.73333333,0.5,1.406666667,NA
"55","STM",199,1,"199_1","MA",19,30,14,0,0,0,0,0,0,32.17,4.353333333,0.11,6.333333333,35.06666667,12.6,1.173333333,1.44,NA
"56","STM",199,3,"199_3","LBF",35,54,26,8,56,67,93.15160564,6.443959318,36.2781659,33.85,3.906666667,0.1,5.133333333,24.13333333,11.6,0.733333333,1.866666667,NA
"57","STM",199,4,"199_4","SFyoung",19,35,11,0,7,2,3.126934911,3.34296,0.640737468,36.81,4.54,0.14,4.133333333,31.46666667,14,1.533333333,1.133333333,NA
"58","STM",199,5,"199_5","PA",22,38,11,0,0,1,0.389686828,0,0.064397814,39.39,4.653333333,0.1,1.133333333,25.93333333,10.8,1.873333333,0.82,NA
"59","STM",199,6,"199_6","SFold",27,44,20,11,41,39,69.62019735,5.744358642,5.511125006,53.85,3.86,0.14,1.733333333,24.13333333,15.66666667,0.706666667,2.066666667,NA
"60","STM",199,8,"199_8","PA",14,40,13,0,1,0,0.150718121,3.997410544,1.489140866,32.76,4.726666667,0.09,2.8,33.46666667,13.2,1.64,0.773333333,NA
"61","STM",199,9,"199_9","SFold",28,46,22,12,55,40,74.70239381,6.697987602,4.028928772,42.23,3.953333333,0.12,3.8,18,12.86666667,0.973333333,1.46,NA
"62","STM",236,1,"236_1","MA",15,13,7,0,0,0,0,3.37596,0,65.57,5.213333333,0.13,5.466666667,75.66666667,26.66666667,3.966666667,0.82,NA
"63","STM",236,2,"236_2","LBF",27,49,24,6,51,40,163.1393118,5.274374817,46.07428502,50.35,3.906666667,0.13,3.533333333,29.53333333,17,0.586666667,2.44,NA
"64","STM",236,3,"236_3","LBF",41,53,25,10,52,60,266.2345872,5.402821781,12.94334684,57.4,4.426666667,0.17,3.533333333,37.26666667,20.33333333,0.586666667,1.993333333,NA
"65","STM",236,4,"236_4","SFyoung",26,32,11,2,45,11,35.57615939,6.517832694,53.43726347,62.27,4.173333333,0.15,3.6,33.2,13.13333333,0.873333333,2.04,NA
"66","STM",236,5,"236_5","LF",41,34,28,16,46,71,142.7673695,5.071563697,7.971544225,47.73,3.92,0.15,2.2,25,16.8,0.846666667,2.153333333,NA
"67","STM",236,6,"236_6","LF",42,53,25,11,52,62,163.8530236,6.247537547,42.02023588,52.57,4.213333333,0.16,4,31.73333333,18.6,0.786666667,2.34,NA
"68","STM",236,7,"236_7","LF",37,60,23,8,49,64,135.9131821,3.583122379,43.27433441,52,4.006666667,0.11,4.2,26,14.33333333,0.466666667,1.786666667,NA
"69","STM",236,8,"236_8","PA",11,26,9,0,0,0,0,0,0,67.89,4.52,0.15,3.466666667,67.53333333,37.93333333,1.68,1.013333333,NA
"70","STM",236,9,"236_9","PA",19,37,8,0,0,0,0,0,0,41.38,5.18,0.15,1.133333333,55.33333333,17.13333333,1.893333333,0.586666667,NA
"71","STM",260,1,"260_1","LF",23,58,21,16,85,74,159.2814961,7.257671835,24.94997739,54.81,3.9,0.15,3.266666667,25,11.13333333,0.88,2.226666667,NA
"72","STM",260,10,"260_10","MA",42,2,7,0,0,0,0,2.26976,0,44.32,5.38,0.15,4.133333333,42.86666667,14.86666667,3.9,0.293333333,NA
"73","STM",260,2,"260_2","SFold",24,63,27,11,48,48,59.25063761,6.620181585,10.3328587,52.12,4.1,0.16,3.933333333,24.33333333,16,0.986666667,1.166666667,NA
"74","STM",260,3,"260_3","LBF",24,43,30,10,52,53,195.9981787,6.356982424,46.89077261,59.7,3.88,0.2,5,26.2,14.13333333,0.973333333,2.4,NA
"75","STM",260,4,"260_4","LF",22,55,34,22,59,71,184.3160949,7.588621534,7.87880957,63.46,3.74,0.15,2.466666667,38.86666667,23.13333333,0.666666667,2.953333333,NA
"76","STM",260,5,"260_5","LBF",32,43,25,6,51,50,137.7634921,5.814056766,19.31876724,61.31,4.073333333,0.18,3.4,20.66666667,12.73333333,1.06,2.173333333,NA
"77","STM",260,6,"260_6","LF",21,49,30,13,65,73,141.0063299,7.319502965,21.42897829,50.3,3.793333333,0.12,3.4,22.46666667,18,0.693333333,1.613333333,NA
"78","STM",260,7,"260_7","MA",31,9,15,0,0,0,0,0,0,40.14,4.653333333,0.12,8.8,47.93333333,15,2.106666667,0.873333333,NA
"79","STM",261,1,"261_1","LF",10,34,13,17,71,79,155.4583937,5.467006216,3.827109197,44.75,3.906666667,0.16,4,18.8,15.73333333,0.62,1.526666667,NA
"80","STM",261,10,"261_10","UF",18,52,23,10,66,60,147.2392627,5.214163951,17.18530198,59.34,3.913333333,0.2,5.866666667,31.26666667,18.13333333,0.86,2.773333333,NA
"81","STM",261,11,"261_11","UF",13,42,19,7,50,62,204.4774483,7.172642565,10.04046894,54.75,3.8,0.14,2.8,36.86666667,20.33333333,0.62,2.593333333,NA
"82","STM",261,12,"261_12","LF",22,56,19,2,52,65,131.7673506,5.136706404,24.63085422,60.59,3.753333333,0.19,4.133333333,24.46666667,16.53333333,0.806666667,2.733333333,NA
"83","STM",261,2,"261_2","LF",18,47,15,11,68,84,118.218652,7.324091555,18.82655698,48.92,3.806666667,0.14,3.866666667,26.66666667,15.86666667,0.606666667,2.16,NA
"84","STM",261,3,"261_3","LF",9,34,33,15,58,68,161.6487497,5.849906683,32.98634776,61.42,4.06,0.17,6.333333333,39.93333333,22.53333333,0.88,2.433333333,NA
"85","STM",261,4,"261_4","LF",16,54,20,14,57,68,142.2371237,4.525055581,30.4614798,57.42,3.886666667,0.2,2.466666667,22,13,1.066666667,2.373333333,NA
"86","STM",261,5,"261_5","LF",18,49,27,9,71,64,210.9035206,8.055622437,10.03591638,62.64,3.806666667,0.2,4.866666667,37,27.66666667,0.753333333,2.733333333,NA
"87","STM",261,6,"261_6","LF",15,49,19,9,74,73,220.1527573,7.31729249,18.14928239,53.14,3.646666667,0.15,6.133333333,28.4,12.8,0.66,2.766666667,NA
"88","STM",261,7,"261_7","LF",37,50,22,12,43,69,160.7727909,7.049480887,17.9149151,62.85,3.753333333,0.23,3.666666667,21.8,12.13333333,0.566666667,2.813333333,NA
"89","STM",261,8,"261_8","UF",15,53,20,19,64,72,143.0119287,7.495643681,14.05292282,58.58,3.76,0.19,2,25.26666667,17.4,0.733333333,2.386666667,NA
"90","STM",261,9,"261_9","UF",16,43,23,15,66,81,170.4564491,5.432000764,17.23384406,52.96,3.706666667,0.2,3.4,26.2,14.6,0.66,2.606666667,NA
"91","STM",307,1,"307_1","LBF",25,57,19,20,88,79,222.1064624,5.746526764,11.7581168,47.52,3.82,0.14,3.8,27.66666667,16.2,0.78,1.54,NA
"92","STM",307,10,"307_10","REF",22,41,7,0,6,1,51.51417963,3.91564,1.730098112,39.22,4.366666667,0.09,3.066666667,19.4,10.93333333,1.313333333,1.14,NA
"93","STM",307,3,"307_3","LBF",27,36,16,2,49,45,80.6823349,6.108470737,30.28625244,48.61,3.993333333,0.11,3.6,17,7.333333333,0.92,1.166666667,NA
"94","STM",307,6,"307_6","AP",16,25,9,6,50,31,93.78506908,4.474421911,5.908993561,63.24,4.086666667,0.17,3.2,26.46666667,14.86666667,1.746666667,1.32,NA
"95","STM",307,7,"307_7","LBF",26,52,13,6,72,55,147.2007417,4.403626289,16.61729932,39.78,3.906666667,0.13,3.466666667,19.93333333,15.73333333,0.766666667,1.813333333,NA
"96","STM",307,9,"307_9","SFyoung",8,48,10,0,21,4,36.18669774,7.518257954,47.56430761,33.58,4.293333333,0.11,5.733333333,37.33333333,22.66666667,1.153333333,0.926666667,NA
"97","STM",357,10,"357_10","MA",8,7,3,0,0,0,0,3.16176,0,58.56,4.42,0.14,5.2,48.26666667,21,2.606666667,0.953333333,NA
"98","STM",357,11,"357_11","PA",26,16,11,0,0,0,0,1.81236,0,38.94,4.966666667,0.1,3.066666667,37.4,14.6,1.873333333,0.66,NA
"99","STM",357,2,"357_2","LBF",19,64,30,3,47,50,100.074686,4.928843252,31.65286374,74.25,3.913333333,0.18,2.733333333,23.8,13.2,1.12,1.98,NA
"100","STM",357,3,"357_3","SFold",17,43,24,6,32,25,43.20568587,6.372410542,5.694140228,77.24,4.386666667,0.2,1.933333333,28.8,17.13333333,2.006666667,1.26,NA
"101","STM",357,4,"357_4","SFyoung",20,40,9,6,18,13,19.57673746,5.679428701,4.770437102,25.35,4.286666667,0.04,2.533333333,17.33333333,12.26666667,0.826666667,0.713333333,NA
"102","STM",357,5,"357_5","BF",15,57,33,19,91,72,144.1099235,4.881604049,22.39305064,67.6,3.98,0.19,2.8,29.33333333,22.33333333,1.393333333,1.473333333,NA
"103","STM",357,6,"357_6","SFyoung",NA,54,21,8,38,20,31.21315803,4.407526408,1.922817383,37.39,4.426666667,0.08,1.533333333,17.93333333,10.86666667,0.726666667,0.926666667,NA
"104","STM",357,7,"357_7","PA",26,26,7,0,0,0,0,1.380679412,3.891108854,47.36,5.246666667,0.11,1.066666667,37.33333333,15.86666667,1.94,0.513333333,NA
"105","STM",357,8,"357_8","PA",26,18,14,0,0,0,0,1.074857597,2.440636305,27.41,5.26,0.06,1.466666667,27.13333333,11.73333333,1.38,0.406666667,NA
"106","STM",357,9,"357_9","SFyoung",NA,38,23,8,40,24,38.01141849,5.719546246,11.59555569,50.49,4.553333333,0.12,3.733333333,21,15.13333333,1.433333333,1.02,NA
"107","STM",363,1,"363_1","BF",14,36,23,7,66,72,252.9557866,8.099334692,33.40698648,60.16,3.893333333,0.16,2.933333333,24.13333333,16,0.82,1.666666667,NA
"108","STM",363,2,"363_2","BF",30,43,27,13,71,69,131.9968621,5.494832519,15.83950686,61.87,3.633333333,0.15,3.266666667,25.2,16.13333333,0.786666667,1.553333333,NA
"109","STM",363,3,"363_3","UF",30,49,23,19,71,70,242.329592,6.454612667,12.40357387,51.72,3.793333333,0.11,2.733333333,20.66666667,14.26666667,0.733333333,1.573333333,NA
"110","STM",363,4,"363_4","UF",19,41,32,21,60,68,144.3132673,5.738959937,24.39175157,59.13,3.806666667,0.15,5.533333333,28.06666667,14,0.86,1.546666667,NA
"111","STM",363,5,"363_5","UF",36,53,23,16,65,75,130.9971706,6.822168037,17.72881857,30.58,3.953333333,0.08,2.533333333,20.93333333,15.6,0.926666667,0.953333333,NA
"112","STM",363,6,"363_6","UF",31,70,36,17,60,62,204.0105044,6.924092709,17.94720516,63.59,3.626666667,0.15,4.066666667,30,14.93333333,0.78,2.366666667,NA
"113","STM",363,7,"363_7","UF",22,60,29,8,67,60,215.2091813,7.044648958,24.7542561,59.78,4.086666667,0.15,2.533333333,30.33333333,18.46666667,0.793333333,2.353333333,NA
"114","STM",363,8,"363_8","UF",21,46,37,3,46,63,302.5864687,8.817756634,12.04147588,57.55,3.793333333,0.15,2.533333333,20,13.66666667,0.84,1.746666667,NA
"115","STM",399,10,"399_10","LBF",19,47,26,15,75,48,86.16572201,8.081404555,34.05876919,25.29,4.22,0.07,6.333333333,16.46666667,13.26666667,0.466666667,1.006666667,NA
"116","STM",399,11,"399_11","SHA",12,30,14,0,3,0,0.660608069,5.718139852,8.865288895,27.11,4.64,0.07,4.933333333,21,13.46666667,1.473333333,0.566666667,NA
"117","STM",399,12,"399_12","SFyoung",16,23,6,6,21,3,10.6703906,5.423909935,0.129319185,54.08,4.693333333,0.13,1,22.06666667,10.46666667,1.993333333,0.833333333,NA
"118","STM",399,13,"399_13","PA",32,29,15,0,4,1,6.488322255,2.739802814,6.759702638,31.31,4.853333333,0.09,1.4,8.533333333,6,1.48,0.553333333,NA
"119","STM",399,3,"399_3","UF",15,55,28,3,38,41,233.605157,8.620908184,30.42970772,38.23,4.073333333,0.06,2.933333333,20.13333333,11.66666667,0.68,1.08,NA
"120","STM",399,5,"399_5","LBF",15,58,30,16,72,68,192.107082,7.456714964,43.75811859,99.87,3.686666667,0.21,5.133333333,24.6,25.66666667,0.673333333,3.466666667,NA
"121","STM",399,6,"399_6","LF",12,52,19,11,80,81,150.5223961,12.31706241,19.43497512,37.31,4.12,0.09,5.6,21.2,17.4,0.72,1.046666667,NA
"122","STM",399,7,"399_7","LF",20,30,27,10,43,60,98.69707582,7.175828662,25.90486697,66.07,3.806666667,0.22,5.266666667,33.53333333,21.13333333,0.76,2.413333333,NA
"123","STM",399,8,"399_8","SFyoung",21,47,31,13,51,25,28.88513407,4.851660833,40.851608,31.72,4.186666667,0.06,2.266666667,18.73333333,9.2,0.973333333,1.333333333,NA
"124","STM",399,9,"399_9","UF",21,52,35,6,34,55,148.4192797,5.768828926,30.02035389,50.04,3.82,0.15,1.933333333,22.2,12.4,0.9,1.746666667,NA
"125","STM",69,1,"69_1","MA",6,8,3,0,0,0,0,0,0,45.37,4.566666667,0.12,10,39.86666667,16.2,2.94,0.633333333,NA
"126","STM",69,10,"69_10","SFold",24,32,13,16,51,46,67.51077022,4.526165623,1.225763155,56.15,4.153333333,0.19,6,39.06666667,18.13333333,1.66,1.633333333,NA
"127","STM",69,11,"69_11","LBF",28,27,26,16,54,47,94.99844113,3.723295423,5.522433701,43.03,4.133333333,0.18,5.133333333,34.73333333,13.06666667,1.62,1.52,NA
"128","STM",69,2,"69_2","SFold",31,36,19,7,50,54,89.06664168,5.193668014,15.91547916,48.38,3.846666667,0.16,3.8,30.26666667,15.46666667,0.98,2.18,NA
"129","STM",69,3,"69_3","PA",18,14,6,0,0,0,0,0,0.021060373,62.38,4.526666667,0.15,4.133333333,27.8,19.26666667,2.213333333,0.76,NA
"130","STM",69,4,"69_4","PA",40,45,8,0,0,2,17.81864797,0.303307038,2.702906083,52.39,4.69,0.13,10.73333333,35.8,16.9,2.463333333,0.803333333,NA
"131","STM",69,5,"69_5","SHA",36,26,12,0,1,0,0.269840866,1.356188292,0,59.56,4.6,0.18,4.266666667,28.66666667,13.73333333,2.576666667,0.903333333,NA
"132","STM",69,6,"69_6","SFyoung",31,41,26,5,45,24,22.74108903,3.885773706,0.911419216,56.62,4.226666667,0.17,6.133333333,21.66666667,9.266666667,1.353333333,1.806666667,NA
"133","STM",69,7,"69_7","PA",25,22,9,0,0,0,0,0,0,50.27,4.433333333,0.17,7,30.53333333,16.73333333,2.066666667,0.873333333,NA
"134","STM",69,8,"69_8","LF",25,60,14,10,52,51,94.40319125,4.085046502,21.81204416,58.29,3.766666667,0.15,5.733333333,29,11.93333333,0.693333333,2.693333333,NA
"135","STM",69,9,"69_9","REF",30,16,8,0,2,0,0.057880392,2.39992,0,76.47,5.053333333,0.17,7.2,50.2,17.33333333,3.633333333,0.873333333,NA
"136","STM",81,1,"81_1","FRU",12,20,15,0,0,0,0,0,0,47.69,4.586666667,0.16,8.066666667,35.8,18.66666667,2.353333333,0.826666667,NA
"137","STM",81,10,"81_10","PA",26,19,9,0,0,0,0,0.08472719,0.041984624,51.79,4.7,0.14,6.466666667,29.93333333,25,2.48,0.76,NA
"138","STM",81,11,"81_11","SFold",22,47,14,14,59,51,92.27419546,5.85294293,17.79390072,47.06,4.053333333,0.18,3.866666667,24.46666667,14.6,0.973333333,1.926666667,NA
"139","STM",81,15,"81_15","LF",13,43,24,8,42,65,181.6018751,3.968408946,60.64174879,41.05,4.046666667,0.16,3.4,33.66666667,15.73333333,1.026666667,1.84,NA
"140","STM",81,2,"81_2","LBF",20,40,20,6,53,43,98.66501106,3.999749113,18.74966404,49.73,3.806666667,0.16,5.666666667,37.73333333,18,1.413333333,2.126666667,NA
"141","STM",81,3,"81_3","LBF",18,44,12,16,76,66,159.1386353,4.138446227,18.31306314,44.2,3.713333333,0.17,5.333333333,28.73333333,13.66666667,0.66,2.486666667,NA
"142","STM",81,6,"81_6","MA",9,22,12,0,0,0,0,0,0,50.97,4.453333333,0.14,3.733333333,27.33333333,20,1.813333333,1.22,NA
"143","STM",81,7,"81_7","SFold",23,32,10,17,50,43,67.99197163,4.635352346,0.930344783,58.25,3.806666667,0.14,7.066666667,33.93333333,21.06666667,0.546666667,3,NA
"144","STM",81,8,"81_8","PA",19,24,5,0,0,0,0,0,0,39.23,4.513333333,0.12,4.333333333,23.86666667,15.93333333,1.353333333,0.953333333,NA
"145","STM",81,9,"81_9","LBF",25,47,17,7,47,63,160.0463067,4.928105923,13.06865597,60.28,3.806666667,0.19,10.4,37.8,18.86666667,0.506666667,2.986666667,NA
"146","STM",99,10,"99_10","SFyoung",20,36,16,14,53,35,61.98671366,7.162829553,1.827664078,65.43,4.046666667,0.17,3.933333333,22.73333333,17.06666667,1.626666667,1.846666667,NA
