"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"199","PGM",152,3,"152_3","SFyoung",21,53,7,4,34,23,47.45366323,6.504976879,3.641900357,41.67,4.025,0.08,14.125,38.75,25.625,1.1625,1.2375,9
"200","PGM",152,4,"152_4","SFold",25,25,12,8,40,28,58.20168765,12.76903137,7.341484291,44.09,4.133333333,0.08,6.333333333,43,33.22222222,0.877777778,1.488888889,11
"201","PGM",152,5,"152_5","PA",10,33,5,0,1,0,0.005107374,2.66931856,0.028163037,60.52,4.644444444,0.12,7.555555556,32,20.11111111,1.511111111,0.8,3
"202","PGM",152,6,"152_6","SFold",17,33,10,5,35,32,55.05138079,12.46017329,2.598850305,86.22,4.166666667,0.16,8.666666667,55.44444444,42.33333333,1.144444444,2.033333333,5
"203","PGM",152,7,"152_7","SFyoung",21,47,4,3,19,11,10.60047011,9.250552096,2.754294838,44.62,4.511111111,0.08,6.666666667,32.11111111,19.22222222,1.444444444,0.722222222,14
"204","PGM",152,8,"152_8","SFyoung",22,47,10,9,40,24,46.44217225,12.98515428,6.192704416,47.96,4.244444444,0.09,6.444444444,32.66666667,21.44444444,0.744444444,1.388888889,14
"205","PGM",152,9,"152_9","PA",7,50,3,0,2,0,0.024421159,1.43072,0,34.49,5.188888889,0.06,5.444444444,24.77777778,20.55555556,0.755555556,0.711111111,7
"206","PGM",202,1,"202_1","LBF",25,40,16,15,71,66,83.92342096,10.69646621,23.93181484,57,4.866666667,0.16,1.533333333,43.2,28.33333333,2.98,0.52,5
"207","PGM",202,12,"202_12","PA",9,21,9,0,0,0,0,1.65152,0,53.83,5.506666667,0.14,2,61.6,35.86666667,3.253333333,0.166666667,1
"208","PGM",202,13,"202_13","LBF",20,46,20,15,55,63,71.38053808,11.06040731,10.83888848,58.54,5.006666667,0.18,1.866666667,41.46666667,28.06666667,2.78,0.613333333,10
"209","PGM",202,14,"202_14","AP",16,36,12,5,18,8,36.83486607,7.698089251,0.338586873,40.21,4.94,0.09,4,38.8,18.4,1.646666667,0.64,5
"210","PGM",202,2,"202_2","LBF",17,40,10,10,48,33,41.10912059,10.99054456,4.235351669,99.11,5.006666667,0.27,4.6,93.33333333,60.26666667,5.953333333,0.286666667,5
"211","PGM",202,3,"202_3","MA",11,21,5,0,0,0,0,0,0,47.53,4.673333333,0.12,2.533333333,33.13333333,22.93333333,1.713333333,0.773333333,3
"212","PGM",202,4,"202_4","REF",17,12,8,0,1,1,40.41692168,4.802315868,0.008284639,108.99,5.211111111,0.23,6.111111111,69.77777778,40.77777778,5.522222222,0.766666667,2
"213","PGM",202,5,"202_5","PA",9,7,6,0,0,0,0,0,0,38.2,5.213333333,0.08,3.066666667,56.73333333,27.93333333,2.013333333,0.366666667,4
"214","PGM",202,6,"202_6","MA",9,11,6,0,0,0,0,0,0,70.11,5.126666667,0.17,4.6,89.6,43.66666667,2.946666667,0.413333333,1
"215","PGM",202,7,"202_7","PA",18,38,9,0,4,1,0.301372709,1.924821333,0.124615132,62.14,5.593333333,0.15,2,46.86666667,24.66666667,3.94,0.16,9
"216","PGM",202,9,"202_9","PA",16,19,7,0,0,0,0,0.002473333,0,34.81,5.36,0.09,3.666666667,64.53333333,30.86666667,2.026666667,0.266666667,1
"217","PGM",235,1,"235_1","LF",11,38,17,21,78,58,128.3159716,10.38609815,13.32360176,65.38,4.713333333,0.17,2.333333333,42,31.86666667,2.006666667,0.986666667,6
"218","PGM",235,10,"235_10","PA",18,32,10,0,0,0,0,1.8339968,0.207676047,60,5.926666667,0.15,5.066666667,41.93333333,27.46666667,3.8,0.12,NA
"219","PGM",235,3,"235_3","LBF",32,38,22,16,57,60,54.60363254,9.317715003,30.53377727,60.27,5.1,0.16,1.666666667,65.73333333,34.8,3.613333333,0.32,4
"220","PGM",235,4,"235_4","SFold",22,37,19,9,59,47,60.01028391,15.12183163,6.532373417,79.37,5.266666667,0.19,3,62.4,32.53333333,4.486666667,0.353333333,3
"221","PGM",235,5,"235_5","SFyoung",24,23,17,9,26,10,30.02362811,12.40604853,0.22539012,40.34,4.973333333,0.09,5.066666667,34.86666667,18.66666667,1.473333333,0.7,7
"222","PGM",235,6,"235_6","PA",11,22,9,0,1,1,0,2.744989,0.078112406,60.34,5.593333333,0.15,6.066666667,56.4,28.73333333,2.953333333,0.286666667,1
"223","PGM",235,7,"235_7","PA",16,25,9,0,1,0,0.018206817,1.80596,0,74.33,5.633333333,0.19,9.8,56.13333333,29.4,4.226666667,0.2,4
"224","PGM",235,8,"235_8","PA",17,10,13,0,0,0,0,1.15032,0,62.16,5.7,0.15,8.2,91.26666667,52.8,3.593333333,0.2,3
"225","PGM",245,1,"245_1","PA",17,34,5,0,1,0,0.06906707,0.86416,0,34,5.155555556,0.06,3.333333333,38,26.22222222,1.644444444,0.444444444,8
"226","PGM",245,11,"245_11","LBF",31,46,15,9,52,59,123.6270351,8.891190126,10.95849305,74.07,4.58,0.15,4.2,27.73333333,29.26666667,0.68,1.62,15
"227","PGM",245,12,"245_12","PA",14,44,7,0,2,0,0.310647026,0.96192,0,26.35,4.973333333,0.05,8.6,40.26666667,27.73333333,1.186666667,0.473333333,6
